name,freereturns,itemssold,status,price,shipping
THOR COPPER / RAWHIDE HAMMER MALLET Size 208-A 210-1 212-2 214-3 216-4 222-5,False,93,Brand New,2458,3165
 16 oz Curved Claw Hammer with Steel Head and Fiberglass Handle,False,,Brand New,1595,0
"8oz Rubber Mallet Hammer Fiberglass Grip Handle 11"" inch Length NEW",True,,Brand New,1069,0
ABN Dead Blow Hammer 2 lb Pound Mallet with Non-Marring Rubber Coating,True,,Brand New,1299,0
Dewalt 3 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,True,0,Brand New,2224,0
"New KING 8 Oz Stubby Claw Hammer w/ Fiberglass Handle, Steel, Small Hand Tool",False,,Brand New,1245,0
New ListingVintage CRAFTSMAN Ball Peen & Claw Hammer Tool Lot (6) Nice No Reserve,False,,Pre-Owned,999,1400
DEAD BLOW HAMMER SET – deadblow hammers – high visibility green – hand tools,False,132,Brand New,3900,0
Dewalt 2 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,True,0,Brand New,2283,0
New Listing2 USA Vintage Tool 16oz & 20oz Plumb Claw Hammer ,False,,Pre-Owned,999,1200
32 OZ  BRASS HEAD HAMMER TOOL 2 LB FIBERGLASS HANDLE RUBBER GRIP,True,222,Brand New,3795,0
New ListingAntique BRONZE  MITTELDORFER-STRAUS GOAT HEAD HAMMER  Pat. 1928 D74243,False,,Pre-Owned,998,1065
New ListingVintage True Temper Perfect No.16 Hammer,False,,Pre-Owned,2250,850
6 oz Mini Ball Peen Hammer,True,,Brand New,1144,0
2lb Forged Steel Solid Brass Sledge Hammer Non Sparking Fiberglass Soft Handle,True,,Brand New,3995,0
14 oz. Stubby Claw Hammer Steel  Fiberglass Handle Pull Out Nail Holedr,True,,Brand New,1169,0
Vaughan Soft Face Hammer SF6 Double Head 6oz with Hickory Handle Made in USA ,True,0,Brand New,2435,0
Dead Blow Hammer Multi-Purpose Dual-Face Hammer Brass / ABS Head Hammer 10oz,True,1107,Brand New,1374,0
DeWALT DWHT51452 22-Ounce 1-Piece Balanced Steel Smooth Hammer,True,153,Brand New,2499,895
Dalluge Hammer 01650 used,False,,Pre-Owned,2500,1035
"VINTAGE ""SPECIALTY"" HAMMER/TACK HAMMER?/NICE USED/WOOD HANDLE/CARPENTRY TOOL",False,,Pre-Owned,495,525
LUDELL TOOLS 4 OUNCE BALL PEEN HAMMER - MADE IN USA - PIEN BALLPIEN - OZ OZ.,True,,Pre-Owned,184,461
TEMCO 2 NON SPARKING BRASS BRONZE OR COPPER HAMMER MALLET NON MAGNETIC MAGNET,True,,Pre-Owned,979,691
"Estwing Hard Face Sledge Hammer, Fiberglass Handle ESH-F",True,31,Brand New,5499,0
16 oz. claw hammer with wood handle,True,92,Brand New,899,0
SNAP ON HBFE16 16 oz. DEAD BLOW HAMMER LIGHTLY USED U.S. MADE,True,,Pre-Owned,1250,900
